日期,播放量,曝光量,完播率,点赞,评论,分享,收藏,新增粉丝,取消关注,净增粉丝,粉丝总数,成交金额,订单量,转化率
2026-06-14,69080,111737,33.0,2534,530,325,453,237,77,160,82160,10979.52,217,0.31
2026-06-15,51644,83589,31.6,2556,347,148,276,363,73,290,82450,20231.32,323,0.63
2026-06-16,47186,80633,45.2,1892,210,112,301,283,125,158,82608,17407.84,298,0.63
2026-06-17,64274,119869,37.9,3527,455,350,341,419,89,330,82938,14035.48,268,0.42
2026-06-18,40154,70789,29.8,1539,288,138,179,162,45,117,83055,17306.23,282,0.7
2026-06-19,68058,117045,41.1,2375,401,405,378,393,159,234,83289,27417.54,425,0.62
2026-06-20,55230,89609,33.7,2100,279,318,359,252,99,153,83442,14839.72,218,0.39
2026-06-21,62986,112456,32.4,2950,334,273,415,314,83,231,83673,28297.17,490,0.78
2026-06-22,40454,66060,30.0,1975,322,149,131,198,98,100,83773,12489.54,180,0.44
2026-06-23,61241,98477,41.0,3089,409,187,340,217,71,146,83919,17522.1,254,0.41
2026-06-24,61648,110002,37.0,2179,527,337,258,381,145,236,84155,12073.87,188,0.3
2026-06-25,52563,112749,37.5,1577,295,109,353,388,174,214,84369,12733.61,274,0.52
2026-06-26,77132,174539,29.5,3438,335,388,467,280,95,185,84554,24292.04,470,0.61
2026-06-27,76944,145900,31.8,3553,588,215,326,613,242,371,84925,21654.35,373,0.48
2026-06-28,51583,90646,34.1,2457,265,148,169,317,85,232,85157,21748.73,327,0.63
2026-06-29,39913,70510,40.0,1453,186,229,210,214,93,121,85278,15655.84,314,0.79
2026-06-30,40617,77242,35.6,1787,310,190,281,141,45,96,85374,10226.99,153,0.38
2026-07-01,44713,77494,36.1,1907,241,134,299,233,106,127,85501,14088.96,304,0.68
2026-07-02,64980,141995,45.4,3755,535,173,321,264,84,180,85681,10890.04,199,0.31
2026-07-03,80754,144197,42.1,3524,493,470,563,466,193,273,85954,15863.24,302,0.37
2026-07-04,80193,160821,37.8,4205,343,347,401,582,143,439,86393,35143.27,747,0.93
2026-07-05,53771,108430,40.2,1992,247,299,214,321,123,198,86591,14828.29,248,0.46
2026-07-06,52115,117482,31.7,2683,270,186,296,234,68,166,86757,19572.28,418,0.8
2026-07-07,50373,115803,45.9,1621,255,154,339,372,172,200,86957,13140.21,268,0.53
2026-07-08,60511,126617,39.0,3607,439,122,379,272,108,164,87121,26121.33,540,0.89
2026-07-09,41116,68866,38.0,1569,288,200,156,253,70,183,87304,12193.34,180,0.44
2026-07-10,76056,126603,35.6,2912,305,386,421,327,138,189,87493,23995.98,430,0.57
2026-07-11,47826,79040,43.9,2731,321,255,254,178,42,136,87629,11596.73,171,0.36
2026-07-12,74369,163797,44.2,2699,390,179,455,551,177,374,88003,25002.74,511,0.69
2026-07-13,63106,139162,45.6,3428,530,132,375,294,140,154,88157,24653.66,370,0.59
